epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3795.03,1.11659,0.73668,1.07763,0.78373,0.66011,0.74221,0.50294,0.99025,0.64281,1.04394,0.008614,0.008614,0.008614
44,3883.46,1.11074,0.7298,1.07189,0.75517,0.68412,0.74055,0.5049,0.98495,0.64512,1.04085,0.008581,0.008581,0.008581
45,3971.15,1.11184,0.7297,1.07083,0.7911,0.66964,0.74632,0.50869,0.97629,0.63559,1.03504,0.008548,0.008548,0.008548
46,4059.3,1.10902,0.72787,1.0692,0.79147,0.66631,0.7413,0.50706,0.97509,0.63094,1.03439,0.008515,0.008515,0.008515
47,4146.55,1.10598,0.72559,1.06815,0.77327,0.69533,0.74881,0.51051,0.96996,0.63164,1.03257,0.008482,0.008482,0.008482
48,4234.78,1.09977,0.7199,1.06696,0.80808,0.66523,0.75025,0.51434,0.96934,0.62515,1.03178,0.008449,0.008449,0.008449
49,4323.06,1.0937,0.71675,1.06308,0.76966,0.69741,0.75582,0.519,0.96473,0.62151,1.02863,0.008416,0.008416,0.008416
50,4411.54,1.09533,0.71626,1.06281,0.77526,0.69704,0.75628,0.52088,0.95752,0.618,1.02511,0.008383,0.008383,0.008383
51,4499.89,1.09195,0.71005,1.05759,0.84038,0.68481,0.76294,0.52302,0.9536,0.61752,1.0237,0.00835,0.00835,0.00835
52,4588.29,1.08695,0.70706,1.05673,0.7825,0.7055,0.76195,0.52439,0.95081,0.61392,1.02019,0.008317,0.008317,0.008317
53,4676.72,1.07854,0.7019,1.05193,0.76316,0.722,0.76929,0.52921,0.95042,0.60898,1.02061,0.008284,0.008284,0.008284
54,4764.78,1.07461,0.69789,1.04981,0.79094,0.7074,0.76699,0.52979,0.94553,0.60483,1.01665,0.008251,0.008251,0.008251
55,4853.29,1.07633,0.69506,1.04889,0.7738,0.70924,0.76717,0.5327,0.94258,0.60427,1.01613,0.008218,0.008218,0.008218
56,4941.74,1.0709,0.6943,1.05041,0.80025,0.71451,0.77765,0.53895,0.93833,0.59913,1.01367,0.008185,0.008185,0.008185
57,5029.87,1.06853,0.69017,1.04593,0.80634,0.71483,0.77682,0.54052,0.93675,0.59812,1.01267,0.008152,0.008152,0.008152
58,5118.4,1.06506,0.68868,1.04481,0.78702,0.71818,0.77455,0.5382,0.93559,0.59635,1.01294,0.008119,0.008119,0.008119
59,5206.51,1.06301,0.68366,1.04281,0.80716,0.70705,0.77276,0.53749,0.93542,0.5947,1.01364,0.008086,0.008086,0.008086
60,5294.64,1.05746,0.68097,1.0399,0.8285,0.70037,0.77655,0.5385,0.93239,0.59348,1.0119,0.008053,0.008053,0.008053
61,5382.7,1.05685,0.6786,1.03677,0.81523,0.71127,0.7783,0.54388,0.93035,0.58981,1.00991,0.00802,0.00802,0.00802
62,5471.3,1.05828,0.6812,1.03802,0.83062,0.70712,0.7803,0.54612,0.92789,0.58967,1.00842,0.007987,0.007987,0.007987
63,5559.37,1.05543,0.67668,1.03807,0.83315,0.7079,0.78159,0.54722,0.92839,0.5883,1.00843,0.007954,0.007954,0.007954
64,5647.89,1.04739,0.67125,1.03358,0.83525,0.71194,0.78302,0.54514,0.92633,0.58928,1.007,0.007921,0.007921,0.007921
65,5735.59,1.04752,0.6723,1.0337,0.83219,0.71406,0.78613,0.54875,0.92111,0.58715,1.0046,0.007888,0.007888,0.007888
66,5823.99,1.04285,0.66714,1.02947,0.80614,0.72604,0.78535,0.54951,0.91828,0.58532,1.00283,0.007855,0.007855,0.007855
67,5912.27,1.03966,0.66409,1.03019,0.82577,0.71912,0.78493,0.5521,0.91576,0.58225,1.00226,0.007822,0.007822,0.007822
68,6000.63,1.03616,0.66365,1.02767,0.81212,0.72678,0.78654,0.5517,0.91391,0.58104,1.00116,0.007789,0.007789,0.007789
69,6088.46,1.02941,0.65575,1.02433,0.82804,0.72496,0.78858,0.5508,0.91204,0.57835,1.00061,0.007756,0.007756,0.007756
70,6176.07,1.03247,0.6579,1.02576,0.83929,0.71672,0.78799,0.55103,0.90971,0.57655,0.99959,0.007723,0.007723,0.007723
71,6264.2,1.02813,0.65511,1.02273,0.82985,0.72021,0.78709,0.55215,0.90903,0.5745,0.9996,0.00769,0.00769,0.00769
72,6352.86,1.03085,0.65422,1.02662,0.831,0.72399,0.78868,0.55403,0.90654,0.57302,0.99891,0.007657,0.007657,0.007657
73,6441.08,1.02512,0.65362,1.02236,0.83052,0.72142,0.78996,0.55726,0.90431,0.57084,0.997,0.007624,0.007624,0.007624
74,6529.07,1.02391,0.65213,1.02026,0.82436,0.72714,0.79027,0.55793,0.90307,0.56898,0.9963,0.007591,0.007591,0.007591
75,6617.39,1.01706,0.64637,1.01741,0.81863,0.72967,0.79011,0.55886,0.90102,0.56792,0.99556,0.007558,0.007558,0.007558
76,6705.66,1.01867,0.64551,1.01676,0.82468,0.72678,0.79027,0.55957,0.90027,0.56647,0.99505,0.007525,0.007525,0.007525
